param,Description,Category1,Category2,Component,Notes
FR,"multiple parameters perturbed together: fine root litter fractions that need to add up to 1 (fr_fcel, fr_flab, fr_flig)",Decomposition,Soil decomposition,Soil,
LF,"multiple parameters perturbed together: leaf litter fractions that need to add up to 1 (lf_fcel, lf_flab, lf_flig)",Decomposition,Soil decomposition,Soil,
denitrif_nitrateconc_coefficient,coefficient for max denitrification rate based on nitrate concentration,External nitrogen cycle,Soil nitrogen cycle,Soil,
denitrif_nitrateconc_exponent,exponent for max denitrification rate based on nitrate concentration,External nitrogen cycle,Soil nitrogen cycle,Soil,
denitrif_respiration_coefficient,coefficient for max denitrification rate based on respiration,External nitrogen cycle,Soil nitrogen cycle,Soil,
denitrif_respiration_exponent,exponent for max denitrification rate based on respiration,External nitrogen cycle,Soil nitrogen cycle,Soil,
freelivfix_intercept,intercept of line of free living fixation with annual ET,External nitrogen cycle,Soil nitrogen cycle,Soil,
freelivfix_slope_wet,slope of line of free living fixation with annual ET,External nitrogen cycle,Soil nitrogen cycle,Soil,
k_nitr_max_perday,Maximum nitrification rate constant,External nitrogen cycle,Soil nitrogen cycle,Soil,
csol_clay,Heat capacity of clay,Soil and snow thermal,Soil thermal processes,Soil,
csol_om,Heat capacity of organic matter,Soil and snow thermal,Soil thermal processes,Soil,
csol_sand,Heat capacity of sand,Soil and snow thermal,Soil thermal processes,Soil,
pd,Particle density of soil,Soil and snow thermal,Soil thermal processes,Soil,
tkd_clay,Thermal conductivity of clay,Soil and snow thermal,Soil thermal processes,Soil,
tkd_om,Thermal conducitvity of dry organic matter,Soil and snow thermal,Soil thermal processes,Soil,
tkd_sand,Thermal conductivity of sand,Soil and snow thermal,Soil thermal processes,Soil,
tkm_om,Thermal conductivity of organic matter,Soil and snow thermal,Soil thermal processes,Soil,
lai_dl,Plant litter area index,"Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Soil,
n_baseflow,drainage power exponent,Hydrology,Soil and surface water hydrology,Soil,
slopebeta,Exponent for microtopography pdf sigma,Hydrology,Soil and surface water hydrology,Soil,
slopemax,Max topographic slope for microtopography pdf sigma,Hydrology,Soil and surface water hydrology,Soil,
sucsat_sf,Scalar adjustment factor for sucsat,Hydrology,Soil and surface water hydrology,Soil,
watsat_sf,Scalar adjustment factor for watsat,Hydrology,Soil and surface water hydrology,Soil,
aq_sp_yield_min,Minimum specific yield,Hydrology,Soil and surface water hydrology,Soil,
baseflow_scalar,Scalar multiplier for base flow rate,Hydrology,Soil and surface water hydrology,Soil,
bsw_sf,Scalar adjustment factor for bsw,Hydrology,Soil and surface water hydrology,Soil,
hksat_sf,Scalar adjustment factor for hksat,Hydrology,Soil and surface water hydrology,Soil,
d_max,Dry surface layer (DSL) parameter,"Sensible, latent heat, and momentum fluxes",Soil and surface water hydrology,Soil,
frac_sat_soil_dsl_init,Fraction of saturated soil for moisture value at which DSL initiates,"Sensible, latent heat, and momentum fluxes",Soil and surface water hydrology,Soil,
fff,Decay factor for fractional saturated area,Hydrology,Soil and surface water hydrology,Soil,
mu,Threshold probability for surface water,Hydrology,Soil and surface water hydrology,Soil,
pc,Connectivity exponent for surface water,Hydrology,Soil and surface water hydrology,Soil,
e_ice,ice impedance factor,Hydrology,Soil and surface water hydrology,Soil,
om_frac_sf,Scalar adjustment factor for om_frac,Hydrology,Soil and surface water hydrology,Soil,Not sure if Soil and surface water hydrology or Soil decomposition
zlnd,"Momentum roughness length for soils, glacier, wetland","Sensible, latent heat, and momentum fluxes",Land surface roughness / aerodynamic resistance,Soil,
cmb_cmplt_fact_cwd,"combustion completion factor (unitless), coarse woody debris",Fire,Fire,Soil,
cmb_cmplt_fact_litter,"combustion completion factor (unitless), litter",Fire,Fire,Soil,
fm_droot,Fire-related mortality factor for dead roots,Fire,Fire,Soil,
