key,param,minmax
OAAT0116,ceta,max
OAAT0117,medlynslope,min
OAAT0118,medlynslope,max
OAAT0119,medlynintercept,min
OAAT0120,medlynintercept,max
OAAT0121,fnps,min
OAAT0122,fnps,max
OAAT0123,theta_psii,min
OAAT0124,theta_psii,max
OAAT0125,theta_ip,max
OAAT0126,theta_cj,min
OAAT0127,theta_cj,max
OAAT0128,kc25_coef,min
OAAT0129,kc25_coef,max
OAAT0130,ko25_coef,min
OAAT0131,ko25_coef,max
OAAT0132,cp25_yr2000,min
OAAT0133,cp25_yr2000,max
OAAT0137,tpu25ratio,min
OAAT0138,tpu25ratio,max
OAAT0139,kp25ratio,min
OAAT0140,kp25ratio,max
OAAT0141,lmrse,min
OAAT0142,lmrse,max
OAAT0143,slatop,min
OAAT0144,slatop,max
OAAT0145,jmaxb0,min
OAAT0146,jmaxb0,max
OAAT0147,jmaxb1,min
OAAT0148,jmaxb1,max
OAAT0149,wc2wjb0,min
OAAT0150,wc2wjb0,max
OAAT0151,enzyme_turnover_daily,min
OAAT0152,enzyme_turnover_daily,max
OAAT0153,relhExp,min
OAAT0154,relhExp,max
OAAT0155,minrelh,min
OAAT0156,minrelh,max
OAAT0157,luna_theta_cj,min
OAAT0158,luna_theta_cj,max
OAAT0159,kmax,min
OAAT0160,kmax,max
OAAT0161,krmax,min
OAAT0162,krmax,max
OAAT0163,psi50,min
OAAT0164,psi50,max
OAAT0165,ck,min
OAAT0166,ck,max
OAAT0167,rootprof_beta,min
OAAT0168,rootprof_beta,max
OAAT0169,fbw,min
OAAT0170,fbw,max
OAAT0171,nstem,min
OAAT0172,nstem,max
OAAT0173,rstem,min
OAAT0174,rstem,max
OAAT0175,wood_density,min
OAAT0176,wood_density,max
OAAT0177,grperc,min
OAAT0178,grperc,max
OAAT0179,br_mr,min
OAAT0180,br_mr,max
OAAT0181,lmr_intercept_atkin,min
OAAT0182,lmr_intercept_atkin,max
OAAT0183,br_root,min
OAAT0184,br_root,max
OAAT0185,FUN_fracfixers,min
OAAT0186,FUN_fracfixers,max
OAAT0187,fun_cn_flex_a,min
OAAT0188,fun_cn_flex_a,max
OAAT0189,fun_cn_flex_b,min
OAAT0190,fun_cn_flex_b,max
OAAT0191,fun_cn_flex_c,min
OAAT0192,fun_cn_flex_c,max
OAAT0193,kc_nonmyc,min
OAAT0194,kc_nonmyc,max
OAAT0195,kn_nonmyc,min
OAAT0196,kn_nonmyc,max
OAAT0197,akc_active,min
OAAT0198,akc_active,max
OAAT0199,akn_active,min
OAAT0200,akn_active,max
OAAT0201,ekc_active,min
OAAT0202,ekc_active,max
OAAT0203,ekn_active,min
OAAT0204,ekn_active,max
OAAT0205,froot_leaf,min
OAAT0206,froot_leaf,max
OAAT0207,stem_leaf,min
OAAT0208,stem_leaf,max
OAAT0209,croot_stem,min
OAAT0210,croot_stem,max
OAAT0211,flivewd,min
OAAT0212,flivewd,max
OAAT0213,frootcn,min
OAAT0214,frootcn,max
OAAT0219,leafcn,min
OAAT0220,leafcn,max
OAAT0225,leaf_long,min
OAAT0226,leaf_long,max
