,param_name,biome,criteria,rank,variable,measure
820,rholvis,Tropical seasonal forest/savanna,alb_DifVis_mean_Tropical seasonal forest/savanna,1,alb_DifVis,mean
821,rhosvis,Tropical seasonal forest/savanna,alb_DifVis_mean_Tropical seasonal forest/savanna,2,alb_DifVis,mean
822,fff,Tropical seasonal forest/savanna,alb_DifVis_mean_Tropical seasonal forest/savanna,3,alb_DifVis,mean
823,taulvis,Tropical seasonal forest/savanna,alb_DifVis_mean_Tropical seasonal forest/savanna,4,alb_DifVis,mean
824,sand_pf,Tropical seasonal forest/savanna,alb_DifVis_mean_Tropical seasonal forest/savanna,5,alb_DifVis,mean
825,sand_pf,Tropical seasonal forest/savanna,alb_DifVis_iav_Tropical seasonal forest/savanna,1,alb_DifVis,iav
826,FUN_fracfixers,Tropical seasonal forest/savanna,alb_DifVis_iav_Tropical seasonal forest/savanna,2,alb_DifVis,iav
827,kn_nonmyc,Tropical seasonal forest/savanna,alb_DifVis_iav_Tropical seasonal forest/savanna,3,alb_DifVis,iav
828,KCN,Tropical seasonal forest/savanna,alb_DifVis_iav_Tropical seasonal forest/savanna,4,alb_DifVis,iav
829,d_max,Tropical seasonal forest/savanna,alb_DifVis_iav_Tropical seasonal forest/savanna,5,alb_DifVis,iav
830,sand_pf,Subtropical desert,alb_DifVis_mean_Subtropical desert,1,alb_DifVis,mean
831,d_max,Subtropical desert,alb_DifVis_mean_Subtropical desert,2,alb_DifVis,mean
832,clay_pf,Subtropical desert,alb_DifVis_mean_Subtropical desert,3,alb_DifVis,mean
833,rhosvis,Subtropical desert,alb_DifVis_mean_Subtropical desert,4,alb_DifVis,mean
834,fff,Subtropical desert,alb_DifVis_mean_Subtropical desert,5,alb_DifVis,mean
835,rholvis,Subtropical desert,alb_DifVis_iav_Subtropical desert,1,alb_DifVis,iav
836,fff,Subtropical desert,alb_DifVis_iav_Subtropical desert,2,alb_DifVis,iav
837,krmax,Subtropical desert,alb_DifVis_iav_Subtropical desert,3,alb_DifVis,iav
838,rhosvis,Subtropical desert,alb_DifVis_iav_Subtropical desert,4,alb_DifVis,iav
839,medlynintercept,Subtropical desert,alb_DifVis_iav_Subtropical desert,5,alb_DifVis,iav
840,rholvis,Temperate rain forest,alb_DifVis_mean_Temperate rain forest,1,alb_DifVis,mean
841,tpu25ratio,Temperate rain forest,alb_DifVis_mean_Temperate rain forest,2,alb_DifVis,mean
842,jmaxha,Temperate rain forest,alb_DifVis_mean_Temperate rain forest,3,alb_DifVis,mean
843,vcmaxha,Temperate rain forest,alb_DifVis_mean_Temperate rain forest,4,alb_DifVis,mean
844,jmaxb1,Temperate rain forest,alb_DifVis_mean_Temperate rain forest,5,alb_DifVis,mean
845,vcmaxha,Temperate rain forest,alb_DifVis_iav_Temperate rain forest,1,alb_DifVis,iav
846,lmrhd,Temperate rain forest,alb_DifVis_iav_Temperate rain forest,2,alb_DifVis,iav
847,jmaxha,Temperate rain forest,alb_DifVis_iav_Temperate rain forest,3,alb_DifVis,iav
848,kcha,Temperate rain forest,alb_DifVis_iav_Temperate rain forest,4,alb_DifVis,iav
849,jmaxb0,Temperate rain forest,alb_DifVis_iav_Temperate rain forest,5,alb_DifVis,iav
850,rholvis,Temperate seasonal forest,alb_DifVis_mean_Temperate seasonal forest,1,alb_DifVis,mean
851,snow_canopy_storage_scalar,Temperate seasonal forest,alb_DifVis_mean_Temperate seasonal forest,2,alb_DifVis,mean
852,jmaxb1,Temperate seasonal forest,alb_DifVis_mean_Temperate seasonal forest,3,alb_DifVis,mean
853,jmaxb0,Temperate seasonal forest,alb_DifVis_mean_Temperate seasonal forest,4,alb_DifVis,mean
854,snowcan_unload_wind_fact,Temperate seasonal forest,alb_DifVis_mean_Temperate seasonal forest,5,alb_DifVis,mean
855,q10_mr,Temperate seasonal forest,alb_DifVis_iav_Temperate seasonal forest,1,alb_DifVis,iav
856,upplim_destruct_metamorph,Temperate seasonal forest,alb_DifVis_iav_Temperate seasonal forest,2,alb_DifVis,iav
857,maximum_leaf_wetted_fraction,Temperate seasonal forest,alb_DifVis_iav_Temperate seasonal forest,3,alb_DifVis,iav
858,fff,Temperate seasonal forest,alb_DifVis_iav_Temperate seasonal forest,4,alb_DifVis,iav
